"Артикул";"Цена_Закупочная"
"710402";"811"
"710403";"794"
"710404"
"710405"
"710406"
"710407"
"710408"
"710409";"842"
"710410";"842"
"710411";"842"
"710412";"842"
"710413";"856"
"710414";"856"
"710415";"859"
"710416";"931"
"710417";"938"
"710418";"938"
"710419";"939"
"710420";"939"
"710421";"939"
"710422";"939"
"710423";"939"
"710424";"917"
"710425";"917"
"710426";"927"
"710427";"927"
"710428";"932"
"710429";"969"
"710430";"969"
"710431";"969"
"710432";"969"
"710433";"969"
"710434";"969"
"710435";"969"
"710436";"969"
"710437";"940"
"710438"
"710439"
"710440";"965"
"710441";"965"
"710442";"947"
"710443";"999"
"710444";"933"
"710445";"933"
"710446";"1048"
"710447";"1048"
"710448";"938"
"710449";"724"
"710450";"955"
"710451";"955"
"710452";"955"
"710453";"955"
"710454";"955"
"710455";"955"
"710456";"955"
"710457";"724"
"710458";"787"
"710459";"787"
"710460"
"710461";"649"
"710462";"649"
"710463";"649"
"710464";"649"
"710465";"1166"
"710466";"1166"
"710467";"1496"
"710468";"777"
"710469";"1089"
"710470";"777"
"710471";"1496"
"710472";"1132"
"710473";"871"
"710474";"777"
"710475";"1496"
"710476";"1132"
"710477";"871"
"710478";"871"
"710479";"1496"
"710480";"490"
"710481";"490"
"710482";"490"
"710483";"490"
"710484"
"710485"
"710486"
"710487"
"710488"
"710489"
"710490"
"710491"
"710492"
"710493"
"710494"
"710495";"1048"
"710496";"1048"
"710497";"1048"
"710498";"1048"
"710499";"1199"
"710500";"1199"
"710501";"1023"
"710502";"1023"
"710503";"1023"
"710504";"1023"
"710505";"704"
"710506";"704"
"710507";"704"
"710508";"704"
"710509";"747"
"710510";"729"
"710511";"729"
"710512";"729"
"710513";"729"
